1,10000,0.0468,10000,
2,10000,0.046,20000,
3,10000,0.0506,30000,
4,10000,0.0561,40000,
5,10000,0.0579,50000,
6,10000,0.0707,60000,
7,10000,0.084,70000,
8,10000,0.0992,80000,
9,10000,0.1089,90000,
10,10000,0.1178,100000,
11,10000,0.1266,110000,
12,10000,0.1543,120000,
13,10000,0.1819,130000,
14,10000,0.1912,140000,
15,10000,0.2173,150000,
16,10000,0.224,160000,
17,10000,0.2455,170000,
18,10000,0.2735,180000,
19,10000,0.2961,190000,
20,10000,0.3178,200000,
21,10000,0.3616,210000,
22,10000,0.3828,220000,
23,10000,0.4077,230000,
24,10000,0.4676,240000,
25,10000,0.4803,250000,
26,10000,0.5136,260000,
27,10000,0.5593,270000,
28,10000,0.6022,280000,
29,10000,0.6284,290000,
30,10000,0.6987,300000,
31,10000,0.7138,310000,
32,10000,0.768,320000,
33,10000,0.8387,330000,
34,10000,0.8631,340000,
35,10000,0.9197,350000,
36,10000,1.0043,360000,
37,10000,1.0476,370000,
38,10000,1.1113,380000,
39,10000,1.1879,390000,
40,10000,1.2486,400000,
41,10000,1.3154,410000,
42,10000,1.3958,420000,
43,10000,1.4516,430000,
44,10000,1.5462,440000,
45,10000,1.5964,450000,
46,10000,1.7063,460000,
47,10000,1.7455,470000,
48,10000,1.8702,480000,
49,10000,1.8962,490000,
50,10000,2.0155,500000,
51,10000,2.1171,510000,
52,10000,2.2711,520000,
53,10000,2.4006,530000,
54,10000,2.5142,540000,
55,10000,2.63,550000,
56,10000,2.7372,560000,
57,10000,2.8433,570000,
58,10000,3.0235,580000,
59,10000,3.1453,590000,
60,10000,3.2742,600000,
61,10000,3.4309,610000,
62,10000,3.5223,620000,
63,10000,3.722,630000,
64,10000,3.8942,640000,
65,10000,3.9794,650000,
66,10000,4.1215,660000,
67,10000,4.268,670000,
68,10000,4.4634,680000,
69,10000,4.689,690000,
70,10000,4.7693,700000,
71,10000,4.9472,710000,
72,10000,5.0248,720000,
73,10000,5.2312,730000,
74,10000,5.462,740000,
75,10000,5.5989,750000,
76,10000,5.8048,760000,
77,10000,5.9295,770000,
78,10000,6.1248,780000,
79,10000,6.2311,790000,
80,10000,6.4099,800000,
81,10000,6.6374,810000,
82,10000,6.7904,820000,
83,10000,6.971,830000,
84,10000,7.1777,840000,
85,10000,7.39,850000,
86,10000,7.5141,860000,
87,10000,7.7684,870000,
88,10000,7.9349,880000,
89,10000,8.0475,890000,
90,10000,8.2919,900000,
91,10000,8.586,910000,
92,10000,8.9747,920000,
93,10000,8.9781,930000,
94,10000,9.1413,940000,
95,10000,9.3944,950000,
96,10000,9.5878,960000,
97,10000,9.8683,970000,
98,10000,10.0359,980000,
99,10000,10.3212,990000,
100,10000,10.5858,1e+06,
